,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
519,Friday,Tim Burton,action,Batman,23/06/1989,WB,788.8,48.0,411.3,7.6,3.38,160.2,38.9,363.3,756.9,126,251.2,61.1
520,Friday,Brad Bird,animation,The Incredibles,5/11/2004,Buena Vista Studios,794.9,92.0,631.4,8.0,3.91,370,58.6,539.4,586.3,115,261.4,41.4
521,Friday,Justin Lin,action,Fast & Furious 6,24/05/2013,Universal,805.1,160.0,788.7,7.2,3.33,550,69.7,628.7,392.9,130,238.7,30.3
522,Wednesday,Michael Bay,action,Armageddon,1/07/1998,Buena Vista Studios,807.8,140.0,553.7,6.6,2.4,352.1,63.6,413.7,295.5,150,201.6,36.4
523,Friday,Pete Docter,animation,Up,29/05/2009,Buena Vista Studios,810.6,175.0,731.3,8.3,4.04,438.3,59.9,556.3,317.9,96,293.0,40.1
526,Wednesday,Robert Zemeckis,adventure,Back to the Future,3/07/1985,Universal,842.3,19.0,381.1,8.5,3.91,170.5,44.7,362.1,1905.8,116,210.6,55.3
527,Friday,Garry Marshall,comedy,Pretty Woman,23/03/1990,Buena Vista Studios,843.1,14.0,463.4,6.9,3.43,285,61.5,449.4,3210.0,119,178.4,38.5
528,Wednesday,Gore Verbinski,action,Pirates of the Caribbean: The Curse of the Black Pearl,9/07/2003,Buena Vista Studios,845.6,125.0,654.3,8.1,3.86,348.9,53.3,529.3,423.4,143,305.4,46.7
529,Friday,Roland Emmerich,action,2012,13/11/2009,Sony,853.2,200.0,769.7,5.8,2.8,603.6,78.4,569.7,284.9,158,166.1,21.6
530,Wednesday,"Ron Clements, John Musker",animation,Aladdin,11/11/1992,Buena Vista Studios,854.4,28.0,504.1,8.0,3.68,286.7,56.9,476.1,1700.4,90,217.4,43.1
533,Friday,Chris Columbus,adventure,Home Alone,16/11/1990,Fox,867.3,15.0,476.7,7.4,3.09,190.9,40.1,461.7,3078.0,103,285.8,59.9
534,Thursday,Steven Spielberg,action,Indiana Jones and the Kingdom of the Crystal Skull,22/05/2008,Paramount Pictures,868.8,185.0,786.6,6.2,2.95,469.5,59.7,601.6,325.2,122,317.1,40.3
535,Wednesday,Barry Sonnenfeld,action,Men in Black,2/07/1997,Sony,873.3,90.0,589.4,7.2,3.56,338.7,57.5,499.4,554.9,98,250.7,42.5
538,Friday,Christopher Nolan,action,Inception,16/07/2010,WB,900.3,160.0,825.5,8.8,4.16,533,64.6,665.5,415.9,148,292.6,35.4
539,Friday,Andrew Adamson,adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",9/12/2005,Buena Vista Studios,907.1,180.0,745,6.9,3.48,453.3,60.8,565,313.9,143,291.7,39.2
541,Friday,"Steve Martino, Michael Thurmeier",animation,Ice Age: Continental Drift,13/07/2012,Fox,908.6,95.0,877.2,6.7,3.21,715.9,81.6,782.2,823.4,88,161.3,18.4
542,Wednesday,Steven Spielberg,action,Indiana Jones and the Last Crusade,24/05/1989,Paramount Pictures,909.4,48.0,474.2,8.3,4.01,277,58.4,426.2,887.9,127,197.2,41.6
543,Thursday,Steven Spielberg,action,The Lost World: Jurassic Park,22/05/1997,Universal,916.5,75.0,618.6,6.5,2.96,389.6,63.0,543.6,724.8,129,229.1,37.0
545,Friday,Jerry Zucker,drama,Ghost,13/07/1990,Paramount Pictures,920.1,22.0,505.7,7.0,3.45,288.1,57.0,483.7,2198.6,127,217.6,43.0
547,Friday,John Badham,drama,Saturday Night Fever,16/12/1977,Paramount Pictures,930.4,3.5,237.1,6.8,3.28,142.9,60.3,233.6,6674.3,118,94.2,39.7
549,Wednesday,Peter Jackson,adventure,The Hobbit: The Battle of the Five Armies,17/12/2014,WB,959.4,250.0,955.1,7.5,3.43,700,73.3,705.1,282.0,144,255.1,26.7
550,Friday,M. Night Shyamalan,drama,The Sixth Sense,6/08/1999,Buena Vista Studios,960.4,40.0,672.8,8.2,4.06,379.3,56.4,632.8,1582.0,107,293.5,43.6
551,Friday,Peter Jackson,adventure,The Hobbit: The Desolation of Smaug,13/12/2013,WB,980.4,250.0,960.4,8.0,3.74,702,73.1,710.4,284.2,161,258.4,26.9
552,Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age: Dawn of the Dinosaurs,1/07/2009,Fox,982.9,90.0,886.7,7.0,3.4,690.1,77.8,796.7,885.2,94,196.6,22.2
553,Wednesday,Sam Raimi,action,Spider-Man 2,30/06/2004,Sony,986.7,200.0,783.8,7.3,3.55,410.2,52.3,583.8,291.9,127,373.6,47.7
554,Tuesday,"Chris Renaud, Pierre Coffin",animation,Despicable Me 2,2/07/2013,Universal,991,76.0,970.8,7.5,3.74,602.7,62.1,894.8,1177.4,98,368.1,37.9
555,Friday,Alfonso Cuarn,adventure,Harry Potter and the Prisoner of Azkaban,4/06/2004,WB,"1,003",130.0,796.7,7.8,3.75,547.1,68.7,666.7,512.9,141,249.5,31.3
556,Friday,Steven Spielberg,action,Raiders of the Lost Ark,12/06/1981,Paramount Pictures,"1,020",20.0,389.9,8.6,4.21,141.8,36.4,369.9,1849.5,115,248.2,63.6
557,Friday,Sam Raimi,action,Spider-Man 3,4/05/2007,Sony,"1,022",258.0,890.9,6.2,3.02,554.3,62.2,632.9,245.3,139,336.5,37.8
558,Thursday,George Lucas,action,Star Wars: Episode III - Revenge of the Sith,19/05/2005,Fox,"1,033.50",115.0,848.8,7.7,3.47,468.5,55.2,733.8,638.1,140,380.3,44.8
559,Wednesday,David Yates,adventure,Harry Potter and the Half-Blood Prince,15/07/2009,WB,"1,035.70",250.0,934.4,7.5,3.82,632.5,67.7,684.4,273.8,153,302.0,32.3
560,Friday,David Yates,adventure,Harry Potter and the Deathly Hallows Part 1,19/11/2010,WB,"1,047.30",125.0,960.3,8.1,3.89,664.3,69.2,835.3,668.2,146,296.0,30.8
561,Friday,Peter Jackson,adventure,The Hobbit: An Unexpected Journey,14/12/2012,WB,"1,053.40",250.0,"1,017",8.0,3.79,714,70.2,767,306.8,169,303.0,29.8
562,Wednesday,David Yates,adventure,Harry Potter and the Order of the Phoenix,11/07/2007,WB,"1,078.20",150.0,939.9,7.4,3.74,647.9,68.9,789.9,526.6,138,292.0,31.1
563,Friday,Sam Raimi,action,Spider-Man,3/05/2002,Sony,"1,086.20",139.0,821.7,7.3,3.57,418,50.9,682.7,491.2,121,403.7,49.1
564,Wednesday,Robert Zemeckis,drama,Forrest Gump,6/07/1994,Paramount Pictures,"1,087.80",55.0,677.9,8.8,4.04,347.7,51.3,622.9,1132.6,142,330.3,48.7
565,Friday,Mike Newell,adventure,Harry Potter and the Goblet of Fire,18/11/2005,WB,"1,092.10",150.0,896.9,7.6,3.72,606.9,67.7,746.9,497.9,157,290.0,32.3
566,Friday,Gore Verbinski,action,Pirates of the Caribbean: At World's End,25/05/2007,Buena Vista Studios,"1,105.20",300.0,963.4,7.1,3.4,654,67.9,663.4,221.1,169,309.4,32.1
567,Friday,Rob Marshall,action,Pirates of the Caribbean: On Stranger Tides,20/05/2011,Buena Vista Studios,"1,105.50",250.0,"1,045.70",6.7,3.34,804.6,76.9,795.7,318.3,137,241.1,23.1
568,Friday,Michael Bay,action,Transformers: Age of Extinction,27/06/2014,Paramount Pictures,"1,109",210.0,"1,104",5.8,2.53,858.6,77.8,894,425.7,165,245.4,22.2
569,Friday,Christopher Nolan,action,The Dark Knight,18/07/2008,WB,"1,109.60",185.0,"1,004.60",9.0,4.5,469.7,46.8,819.6,443.0,152,534.9,53.2
570,Friday,Tim Burton,adventure,Alice in Wonderland,5/03/2010,Buena Vista Studios,"1,118.40",200.0,"1,025.50",6.5,3.27,691.3,67.4,825.5,412.8,108,334.2,32.6
571,Friday,Christopher Nolan,action,The Dark Knight Rises,20/07/2012,WB,"1,123.20",275.0,"1,084.40",8.5,4.01,636.3,58.7,809.4,294.3,165,448.1,41.3
572,Wednesday,Richard Marquand,action,Return of the Jedi,25/05/1983,Fox,"1,134.30",32.5,475.1,8.4,3.99,165.8,34.9,442.6,1361.9,134,309.3,65.1
573,Thursday,Sam Mendes,action,Skyfall,8/11/2012,Sony,"1,148.20",200.0,"1,108.60",7.8,3.81,804.2,72.5,908.6,454.3,143,304.4,27.5
575,Friday,Lee Unkrich,animation,Toy Story 3,18/06/2010,Buena Vista Studios,"1,159.50",200.0,"1,063.20",8.4,4.01,648.2,61.0,863.2,431.6,103,415.0,39.0
576,Friday,Chris Columbus,adventure,Harry Potter and the Chamber of Secrets,15/11/2002,WB,"1,161.90",100.0,879,7.3,3.58,617,70.2,779,779.0,161,262.0,29.8
580,Friday,"Andrew Stanton, Lee Unkrich",animation,Finding Nemo,30/05/2003,Buena Vista Studios,"1,210.60",94.0,936.7,8.2,3.89,555.9,59.3,842.7,896.5,100,380.8,40.7
582,Wednesday,Roland Emmerich,action,Independence Day,3/07/1996,Fox,"1,238.90",75.0,817.4,6.9,3.4,511.2,62.5,742.4,989.9,145,306.2,37.5
583,Friday,Shane Black,action,Iron Man 3,3/05/2013,Buena Vista Studios,"1,240.70",200.0,"1,215.40",7.3,3.68,806.4,66.3,"1,015.40",507.7,130,409.0,33.7
584,Friday,Colin Trevorrow,action,Jurassic World,12/06/2015,Universal,"1,245.90",215.0,"1,245.90",7.5,3.45,745.5,59.8,"1,030.90",479.5,124,500.4,40.2
585,Friday,Gore Verbinski,action,Pirates of the Caribbean: Dead Man's Chest,7/07/2006,Buena Vista Studios,"1,257.70",225.0,"1,066.20",7.3,3.47,642.9,60.3,841.2,373.9,151,423.3,39.7
586,Friday,"Chris Buck, Jennifer Lee",animation,Frozen,22/11/2013,Buena Vista Studios,"1,300.70",150.0,"1,274.20",7.7,3.71,873.5,68.6,"1,124.20",749.5,102,400.7,31.4
587,Friday,Chris Columbus,adventure,Harry Potter and the Sorcerer's Stone,16/11/2001,WB,"1,308.90",125.0,974.8,7.5,3.62,657.2,67.4,849.8,679.8,152,317.6,32.6
588,Friday,Joss Whedon,action,Avengers: Age of Ultron,1/05/2015,Buena Vista Studios,"1,371.60",250.0,"1,371.60",7.9,3.75,919.1,67.0,"1,121.60",448.6,141,452.5,33.0
594,Friday,James Wan,action,Furious 7,3/04/2015,Universal,"1,511.60",190.0,"1,511.60",7.6,3.34,"1,160.60",76.8,"1,321.60",695.6,137,351.0,23.2
596,Friday,Joss Whedon,action,Marvel's The Avengers,4/05/2012,Buena Vista Studios,"1,572.90",220.0,"1,518.60",8.2,3.95,895.2,59.0,"1,298.60",590.3,143,623.4,41.0
597,Wednesday,"Roger Allers, Rob Minkoff",animation,The Lion King,15/06/1994,Buena Vista Studios,"1,584.60",79.3,987.5,8.5,3.78,564.7,57.2,908.2,1145.3,89,422.8,42.8
598,Friday,Steven Spielberg,adventure,Jurassic Park,11/06/1993,Universal,"1,693.80",63.0,"1,029.20",8.1,3.66,626.7,60.9,966.2,1533.7,127,402.5,39.1
600,Friday,Steven Spielberg,adventure,E.T.: The Extra-Terrestrial,11/06/1982,Universal,"1,953.90",10.5,792.9,7.9,3.76,357.8,45.1,782.4,7451.4,115,435.1,54.9
602,Tuesday,Richard Fleischer,adventure,Doctor Dolittle,19/12/1967,Fox,"2,096.80",70.5,294.5,5.3,3.01,150.3,51.0,224,317.7,152,144.2,49.0
604,Wednesday,George Lucas,action,Star Wars,25/05/1977,Fox,"3,042.80",11.0,775.4,8.7,4.19,314.4,40.5,764.4,6949.1,121,461.0,59.5
606,Wednesday,James Cameron,drama,Titanic,17/12/1997,Paramount Pictures,"3,240.10",200.0,"2,186.80",7.7,3.38,"1,528.10",69.9,"1,986.80",993.4,194,658.7,30.1
