,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
164,Friday,Hoyt Yeatman,action,G-Force,24/07/2009,Buena Vista Studios,324.6,82.5,292.8,5.1,2.55,173.4,59.2,210.3,254.9,88,119.4,40.8
166,Friday,Olivier Megaton,action,Taken 3,9/01/2015,Fox,325.8,48.0,325.8,6.1,2.88,236.5,72.6,277.8,578.8,109,89.3,27.4
167,Friday,H.B. Halicki,action,Gone in 60 Seconds,9/05/2000,Buena Vista Studios,327.6,90.0,237.2,6.5,3.07,135.6,57.1,147.2,163.6,105,101.6,42.9
168,Friday,"Steve Martino, Jimmy Hayward",animation,Dr. Seuss' Horton Hears a Who!,14/03/2008,Fox,328.2,85.0,297.1,6.9,3.45,142.6,48.0,212.1,249.5,86,154.5,52.0
169,Wednesday,Mel Gibson,action,Braveheart,24/05/1995,Paramount Pictures,328.3,72.0,210.4,8.4,4.05,134.8,64.1,138.4,192.2,177,75.6,35.9
173,Friday,Beeban Kidron,comedy,Bridget Jones: The Edge of Reason,12/11/2004,Universal,330.5,50.0,262.5,5.9,2.97,222.3,84.7,212.5,425.0,108,40.2,15.3
174,Friday,Steve Oedekerk,comedy,Ace Ventura: When Nature Calls,10/11/1995,WB,331.4,30.0,212.4,6.3,2.62,104,49.0,182.4,608.0,90,108.4,51.0
175,Friday,Tim Story,action,Fantastic Four: Rise of the Silver Surfer,15/06/2007,Fox,331.5,120.0,289,5.6,2.86,157.1,54.4,169,140.8,92,131.9,45.6
176,Friday,Simon West,action,Con Air,6/06/1997,Buena Vista Studios,331.9,80.0,224,6.8,3.19,122.9,54.9,144,180.0,115,101.1,45.1
177,Friday,"Phil Lord, Chris Miller",comedy,22 Jump Street,13/06/2014,Sony,332.8,50.0,331.3,7.1,3.5,139.6,42.1,281.3,562.6,112,191.7,57.9
180,Friday,Joseph McGinty Nichol,action,Charlie's Angels: Full Throttle,27/06/2003,Sony,335,120.0,259.2,4.8,2.54,158.3,61.1,139.2,116.0,106,100.8,38.9
181,Friday,Dennis Dugan,comedy,Big Daddy,25/06/1999,Sony,335.2,30.0,234.8,6.4,3.12,71.3,30.4,204.8,682.7,93,163.5,69.6
182,Friday,Stephen Sommers,action,G.I. Joe: The Rise of Cobra,7/08/2009,Paramount Pictures,335.3,175.0,302.5,5.8,2.85,152.3,50.3,127.5,72.9,118,150.2,49.7
183,Friday,"Paul Weitz, Chris Weitz",comedy,American Pie,9/07/1999,Universal,336.2,12.0,235.5,7.0,3.34,132.9,56.4,223.5,1862.5,95,102.6,43.6
